Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,None,3.4288646556712963,12.589518229166666,5.105448404947917,2.9034016927083335,2.277743869357639
3,00:00:00.067,1.341982363292074,2.2648993598090277,10.102742513020834,3.1338568793402777,1.9972737630208333,1.6635674370659723
4,00:00:00.100,0.5468195320617301,1.4005782515914351,6.906941731770833,2.144802517361111,1.0927598741319444,0.96417236328125
5,00:00:00.133,0.9281771454966165,1.9214635778356481,6.6094970703125,2.8321329752604165,1.4892442491319444,1.4430135091145833
6,00:00:00.167,1.4187479136212522,2.6300410517939814,8.49273681640625,4.187771267361111,1.9260186089409723,1.7763332790798612
7,00:00:00.200,0.8382873633334,1.9850712528935184,7.692057291666667,2.2979668511284723,2.098849826388889,1.5583970811631944
8,00:00:00.233,0.7468829418205206,2.1079915364583335,11.254475911458334,1.9095052083333333,2.4911363389756946,1.9233330620659723
9,00:00:00.267,0.9205009435834567,2.8125361689814814,11.622823079427084,3.1545206705729165,2.934543185763889,2.348544650607639
10,00:00:00.300,1.0760971888772044,3.8618932653356484,13.907267252604166,5.092400444878472,3.4984266493055554,2.9948527018229165
11,00:00:00.333,0.9474156432585445,4.2668072735821765,18.6663818359375,4.455919053819445,4.376010470920139,3.9684922960069446
12,00:00:00.367,0.9858049309414213,5.167848940248843,20.930074055989582,5.414171006944445,5.102071126302083,4.9873046875
13,00:00:00.400,1.0828694793108877,6.17223216869213,24.208882649739582,6.626634385850695,5.906094021267361,5.983968098958333
14,00:00:00.433,1.0365181506714234,6.668120207609953,24.5806884765625,7.451009114583333,6.18817138671875,6.365180121527778
15,00:00:00.467,0.9684558429612352,6.696766040943287,26.17340087890625,7.855929904513889,6.170952690972222,6.06341552734375
16,00:00:00.500,1.1101346121316,7.695920591001157,23.894144694010418,9.960618760850695,6.478115505642361,6.649027506510417
17,00:00:00.533,0.9676006107851902,7.123288755063657,24.55474853515625,7.772833930121528,7.09527587890625,6.501756456163195
18,00:00:00.567,0.93375274416731,7.241509331597222,24.853922526041668,8.146477593315971,7.336527506510417,6.241522894965278
19,00:00:00.600,1.0403898005686385,7.8130312319155095,24.2486572265625,9.340379503038195,7.753336588541667,6.345377604166667
20,00:00:00.633,1.1796613359122325,8.388859501591435,23.575948079427082,10.89731174045139,7.681749131944445,6.587517632378472
21,00:00:00.667,1.0383785493639581,7.285203721788194,24.79339599609375,8.8582763671875,7.018731011284722,5.978603786892361
22,00:00:00.700,0.9122760379501514,6.105231391059028,21.948649088541668,7.279317220052083,6.201727973090278,4.834648980034722
23,00:00:00.733,1.0042855211852164,5.756646050347222,20.06195068359375,7.288811577690972,5.551127115885417,4.429999457465278
24,00:00:00.767,1.1186186781832081,5.3385190610532405,17.367655436197918,7.306118435329861,4.607245551215278,4.102193196614583
25,00:00:00.800,0.9819753029643472,4.199370207609953,13.616739908854166,5.933356391059028,3.403530544704861,3.2612236870659723
26,00:00:00.833,0.7506819724353279,3.0284356011284728,10.96221923828125,4.256693522135417,2.3234931098090277,2.5051201714409723
27,00:00:00.867,0.8368637109365398,2.9822071216724537,10.815226236979166,4.236158582899305,2.228549533420139,2.4819132486979165
28,00:00:00.900,1.089675091924597,3.616886845341435,12.7313232421875,5.012261284722222,2.8657090928819446,2.972690158420139
29,00:00:00.933,0.9282222622932862,3.4095142505787037,13.402303059895834,4.254774305555555,3.0525987413194446,2.921169704861111
30,00:00:00.967,0.9560919680005558,3.8567798755787037,15.503438313802084,4.96636962890625,3.461642795138889,3.1423272026909723
31,00:00:01.000,1.0196229905067593,4.236789279513888,14.062906901041666,5.876369900173611,3.580410427517361,3.2535875108506946
32,00:00:01.033,1.1833667551968596,4.872411657262732,16.11907958984375,6.886454264322917,4.056810167100695,3.6739705403645835
33,00:00:01.067,1.0483492659387408,4.482297544126157,15.733439127604166,6.019205729166667,3.9058634440104165,3.521823459201389
34,00:00:01.100,0.8683379527358995,3.893792046440972,14.206441243489584,4.952724880642361,3.478759765625,3.2498914930555554
35,00:00:01.133,0.9703093073108089,4.09931324146412,12.703653971354166,5.480265299479167,3.4893595377604165,3.3283148871527777
36,00:00:01.167,1.1322556737855918,4.48273609302662,13.196512858072916,6.240180121527778,3.7467041015625,3.4613240559895835
37,00:00:01.200,0.9852590854345696,4.04017017505787,12.458089192708334,5.467787000868055,3.413974338107639,3.2387491861979165
38,00:00:01.233,0.9106086741904109,3.803204571759259,11.628011067708334,4.980495876736111,3.3679673936631946,3.0611504448784723
39,00:00:01.267,1.015789262341314,4.017214174623843,11.558837890625,5.514248318142361,3.2956407335069446,3.2417534722222223
40,00:00:01.300,1.0700674517163116,4.166087962962963,11.596883138020834,5.922105577256945,3.320712619357639,3.2554456922743054
41,00:00:01.333,0.9416634188385208,3.8096223054108798,11.550191243489584,5.067043728298611,3.2820909288194446,3.0797322591145835
42,00:00:01.367,0.9768774546116914,3.943137839988426,11.116129557291666,5.131218804253472,3.5145331488715277,3.1836615668402777
43,00:00:01.400,1.0592112001421505,4.05608226634838,10.29296875,5.3822021484375,3.53814697265625,3.247897677951389
44,00:00:01.433,1.1393236087139704,4.114092791521991,11.790568033854166,5.648308648003472,3.4915296766493054,3.2024400499131946
45,00:00:01.467,0.9761464451809819,3.4505163122106475,11.119588216145834,4.650112575954861,2.9698418511284723,2.731594509548611
46,00:00:01.500,0.8902844683366569,2.9942468713831016,8.890482584635416,3.773837619357639,2.7036268446180554,2.505276150173611
47,00:00:01.533,0.9988986374528546,2.974916811342593,9.751688639322916,3.9654337565104165,2.5618828667534723,2.397433810763889
48,00:00:01.567,1.03863608112064,2.9134634512442132,9.03228759765625,3.907741970486111,2.5333116319444446,2.2993367513020835
49,00:00:01.600,0.9041314157896325,2.554560908564815,8.138224283854166,3.169162326388889,2.4651082356770835,2.0294121636284723
50,00:00:01.633,0.9928455739271275,2.696619104456019,8.7158203125,3.51727294921875,2.5587700737847223,2.0138142903645835
51,00:00:01.667,1.0605725258879197,2.7167245370370368,8.18145751953125,3.822536892361111,2.419406467013889,1.9082302517361112
52,00:00:01.700,1.0594886087354483,2.6794546621817132,8.572285970052084,3.92901611328125,2.2378336588541665,1.8715142144097223
53,00:00:01.733,0.8752788498366794,2.3156218352141202,8.32672119140625,3.308749728732639,1.9934149848090277,1.6447007921006944
54,00:00:01.767,0.888291718708169,2.3870646158854165,7.249348958333333,3.3528306749131946,2.0753173828125,1.7330457899305556
55,00:00:01.800,1.0690612856665842,2.7990835684317132,8.73138427734375,3.8716566297743054,2.4549492730034723,2.070644802517361
56,00:00:01.833,1.0898524720560696,2.954852068865741,8.537699381510416,4.091708713107639,2.669094509548611,2.1037529839409723
57,00:00:01.867,0.19451683554235347,2.815513328269676,8.537699381510416,3.4906412760416665,2.6967095269097223,2.259189181857639
58,00:00:01.900,0.173223390670023,2.8433001482928244,6.99859619140625,3.370449490017361,2.657138400607639,2.5023125542534723
59,00:00:01.933,7.416218743650538,49.300340440538186,117.933349609375,60.671000162760414,49.846469455295136,37.38355170355903
60,00:00:01.967,0.5834434287651564,10.585557725694445,34.175008138020836,12.694620768229166,10.085259331597221,8.976793077256945
61,00:00:02.000,0.5195567984643128,10.34618236400463,37.839457194010414,12.065233018663195,10.563544379340279,8.409769694010416
62,00:00:02.033,0.9601521616924628,10.083161530671296,35.959676106770836,12.329481336805555,9.8092041015625,8.110799153645834
63,00:00:02.067,0.8813338580412693,9.684848361545141,35.691630045572914,11.906575520833334,9.362935384114584,7.7850341796875
64,00:00:02.100,1.0529054511388574,11.389926486545141,40.691121419270836,15.128004286024305,10.406026204427084,8.635748969184029
65,00:00:02.133,1.15399662805818,12.136142306857638,39.954427083333336,17.17062717013889,10.553948296440971,8.683851453993055
66,00:00:02.167,1.1121873585563509,11.366310402199074,36.526896158854164,16.418558756510418,9.816446940104166,7.863925509982639
67,00:00:02.200,1.0034961815033092,9.625388816550926,32.88665771484375,13.196912977430555,8.890740288628471,6.78851318359375
68,00:00:02.233,0.8880977588688262,7.727663393373842,31.881917317708332,9.93496365017361,7.135219997829861,6.112806532118055
69,00:00:02.267,0.9567085337925605,7.137299714265047,27.5274658203125,9.61246066623264,6.042575412326389,5.756863064236111
70,00:00:02.300,1.0285401258784168,6.676463939525463,23.249104817708332,8.54556613498264,5.471232096354167,6.012593587239583
71,00:00:02.333,0.9272915129577207,5.8115460431134265,19.83367919921875,6.9822998046875,5.079752604166667,5.372585720486111
72,00:00:02.367,0.8345267742065516,5.2883074725115735,19.494730631510418,5.960469563802083,4.643853081597222,5.260599772135417
73,00:00:02.400,0.9947375184708803,5.9668353045428235,21.72210693359375,7.593648274739583,4.864881727430555,5.441975911458333
74,00:00:02.433,1.2053351222225344,6.892729582609955,23.918355305989582,9.56656222873264,5.412855360243055,5.698771158854167
75,00:00:02.467,0.9933128970367995,6.0010240342881955,22.10601806640625,7.03411865234375,5.904520670572917,5.064432779947917
76,00:00:02.500,0.9099290416596488,5.6179018373842595,19.228413899739582,6.800259060329861,5.638400607638889,4.415045844184028
77,00:00:02.533,0.9859833889174878,5.688227900752316,17.56134033203125,7.81854248046875,4.999308268229167,4.246832953559028
78,00:00:02.567,1.0868354542793268,6.114018192997686,19.027811686197918,8.665947808159721,5.288363986545139,4.387742784288195
79,00:00:02.600,0.8576882716900511,5.343419958043982,19.690144856770832,6.388441297743055,5.334208170572917,4.307610405815972
80,00:00:02.633,0.8861995749355028,5.852543583622686,19.946085611979168,7.209886338975695,6.026970757378472,4.320773654513889
81,00:00:02.667,1.1095710864170893,7.265313042534722,21.018269856770832,10.2733154296875,6.0745849609375,5.448038736979167
82,00:00:02.700,1.0992842916082515,7.6936170789930545,19.871724446614582,11.241875542534721,6.304273817274305,5.534701877170139
83,00:00:02.733,0.9570650869971562,7.301848234953703,18.906758626302082,10.288323296440971,5.778408474392361,5.838812934027778
84,00:00:02.767,0.9994005511350758,7.575299298321759,22.450154622395832,10.284803602430555,5.870754665798611,6.570339626736111
85,00:00:02.800,1.0860685000058046,7.9834368670428235,22.761433919270832,10.733072916666666,5.942999945746528,7.274237738715278
86,00:00:02.833,0.9681262897474775,7.340469925491898,21.563008626302082,9.422132703993055,6.15252685546875,6.446750217013889
87,00:00:02.867,0.9706445890222614,7.185451931423611,21.995340983072918,9.168409559461805,6.545206705729167,5.842739529079861
88,00:00:02.900,1.0880017926442729,7.584375452112269,20.786539713541668,10.77261013454861,6.417799207899305,5.562717013888889
